Techniek,Volgorde modus,Context_gathering,Coach modus,Roeplay,feedback,techniek_id,default_mode_v3,roleplay_capable_v3,roleplay_default_v3,practice_unit_v3,learning_function_v3,context_depth_v3,context_layers_required_v3,artifacts_in_v3,artifacts_out_v3,recommended_bundle_v3,roleplay_initial_epic_phase_v3,roleplay_default_attitude_v3,persona_policy_v3,auto_offer_after_coach_turns_v3,gate_requires_artifacts_v3
0 - Pre-contactfase,Coach,"Sector, B2b/B2C/…, product, type klant",Video’s over fase 0 bekeken? refereer kort naar subtechnieken van deze fase en vraag of er iets is dat coachee graag wil bespreken?,/,/,0,COACH_CHAT,False,False,PHASE0_PRECONTACT,COACH_TRANSLATE,LIGHT,base,,,,,,,,
0.1 Prospectanalyse,V2,V2,V2,V2,V2,0.1,COACH_CHAT,False,False,PHASE0_PREP_SUB,COACH_TRANSLATE,LIGHT,base,,,,,,,,
0.2 SWOT-analyse,V2,V2,V2,V2,V2,0.2,COACH_CHAT,False,False,PHASE0_PREP_SUB,COACH_TRANSLATE,LIGHT,base,,,,,,,,
0.3 CRM-historiek,V2,V2,V2,V2,V2,0.3,COACH_CHAT,False,False,PHASE0_PREP_SUB,COACH_TRANSLATE,LIGHT,base,,,,,,,,
0.4 One Minute Manager,V2,V2,V2,V2,V2,0.4,COACH_CHAT,False,False,PHASE0_PREP_SUB,COACH_TRANSLATE,LIGHT,base,,,,,,,,
0.5 Gespreksvoorbereiding,V2,V2,V2,V2,V2,0.5,COACH_CHAT,False,False,PHASE0_PREP_SUB,COACH_TRANSLATE,LIGHT,base,,,,,,,,
1 - Openingsfase,Coach,,"Video bekeken? refereer kort naar subtechnieken (koopklimaat gentleman’s agreement, firmavoorstelling, instapvraag)? Benieuwd om te horen of je deze zaken vandaag al toepast? Vraag of coachee graag iets wil bespreken?",,,1,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE1_OPENING_FULL,ROLEPLAY_INTEGRATED,STANDARD,"base,scenario",,,,explore,,session_random,,
1.1 Koopklimaat creëren,context,"Setting (F2F/telefoon/video), Typische klant,",,,,1.1,COACH_CHAT,False,False,PHASE1_MICRO,COACH_TRANSLATE,LIGHT,base,,,,,,,,
1.2 Gentleman's agreement,coach -> context -> coach -> feedback,"Wat is de voor jou de doelstelling van een typisch eerste gesprek? (Kan je met andere woorden verkopen in één gesprek, wil je een optie afsluiten?, wil je een tweede afspraak ter plaatse vastleggen, etc.?). Hoe verloopt een typisch sales traject van eerste contact tot de handtekening?","1/ Vertrouwd met het concept van een “gentleman’s agreement? doe je al zoiets? Heb je het gevoel dat je gespreksleiding hebt of neemt klant over? Voorstellen om samen eentje te bouwen of heb je andere vragen? 2/ (na context): format gentleman’s agreement: haal uit technieken_index.json): hoe zou jij dit in jouw woorden doen voor (context: (sector, product, klant, typisch verloop gesprek)",,Op basis van rag corpus en technieken_index.json,1.2,COACH_CHAT,False,False,PHASE1_MICRO,MICRO_DRILL,STANDARD,"base,scenario",,,,,,,,
1.3 Firmavoorstelling,context -> coach -> feedback,Hoe stelt hij vandaag de firma voor? hoe lang duurt voorstelling? welk ondersteunend materiaal gebruikt hij,,,Op basis van rag corpus en technieken_index.json,1.3,COACH_CHAT,False,False,PHASE1_MICRO,MICRO_DRILL,STANDARD,"base,scenario",,,,,,,,
1.4 Instapvraag,context -> coach ->,Hoe start jij het gesprek normaal? Naar welke thema’s wil jij het gesprek strategisch sturen? (Voor welke problemen (pijn) hebben jullie een oplossing? Moest je je klanten in 2 grote categorieën moeten indelen? Welke twee zouden dat dan zijn?,,,,1.4,COACH_CHAT,False,False,PHASE1_MICRO,MICRO_DRILL,STANDARD,"base,scenario",,,,,,,,
2 - Ontdekkingsfase,coach -> context -> coach -> feedback,"Reverse engineering van het sales gesprek: van de laatste 30 klanten die kochten, wat waren de echte redenen? De echte concrete “baten” die ze proberen te verwerven of de “pijn” die ze proberen vermijden door jouw dienst of product te kopen?","Video bekeken? Onderliggende concepten, ideeën, technieken allemaal duidelijk? Kan ik je ergens mee helpen?",,,2,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE2_FULL_EPIC,ROLEPLAY_INTEGRATED,DEEP,"base,scenario,value_map,objection_bank",,"scenario_snapshot,discovery_brief",,explore,,session_random,,
2.1 Explore,,Welke vragen stel je altijd tijdens een gesprek? Hoe loopt dat vandaag? Welke verdeling tussen zelf vertellen en luisteren naar de prospect?,,,,2.1,COACH_CHAT_THEN_ROLEPLAY,True,True,EXPLORE_BUNDLE,ROLEPLAY_DRILL,STANDARD,"base,scenario",,,,explore,,session_random,,
2.1.1 Feitgerichte vragen,,Welke vragen wil je altijd stellen?,,,,2.1.1,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.2 Meningsgerichte vragen,,"Vraagt hij naar mening, Of alleen feiten, Durft hij door te vragen",,,,2.1.2,COACH_CHAT,False,False,EXPLORE_MICRO,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.3 Alternatieve vraagvorm,,"Krijgt hij vage antwoorden, Weet hij hoe hij moet doorprikken",,,,2.1.3,COACH_CHAT,False,False,EXPLORE_MICRO,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.4 Ter zijde schuiven,,"Welke bezwaren komen vroeg, Laat hij zich afleiden, Kan hij parkeren",,,,2.1.4,COACH_CHAT,False,False,EXPLORE_MICRO,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
